season,event_id,sport,event,market,selection,posted_odds,close_odds,posted_feed,posted_book,close_book,close_feed,posted_at,close_at,commence_at,close_kind,excluded,exclude_reason
2025,sample-2025-mlb-ml-1,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,ml,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-02T20:00:00Z,2025-09-02T22:55:00Z,2025-09-02T23:00:00Z,true_close,false,
2025,sample-2025-mlb-ml-2,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,ml,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-03T20:00:00Z,2025-09-03T22:55:00Z,2025-09-03T23:00:00Z,true_close,false,
2025,sample-2025-mlb-ml-3,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,ml,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-04T20:00:00Z,2025-09-04T22:55:00Z,2025-09-04T23:00:00Z,true_close,false,
2025,sample-2025-mlb-ml-4,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,ml,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-05T20:00:00Z,2025-09-05T22:55:00Z,2025-09-05T23:00:00Z,true_close,false,
2025,sample-2025-mlb-spread-1,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,spread,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-06T20:00:00Z,2025-09-06T22:55:00Z,2025-09-06T23:00:00Z,true_close,false,
2025,sample-2025-mlb-spread-2,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,spread,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-07T20:00:00Z,2025-09-07T22:55:00Z,2025-09-07T23:00:00Z,true_close,false,
2025,sample-2025-mlb-spread-3,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,spread,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-08T20:00:00Z,2025-09-08T22:55:00Z,2025-09-08T23:00:00Z,true_close,false,
2025,sample-2025-mlb-spread-4,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,spread,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-09T20:00:00Z,2025-09-09T22:55:00Z,2025-09-09T23:00:00Z,true_close,false,
2025,sample-2025-mlb-total-1,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,total,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-10T20:00:00Z,2025-09-10T22:55:00Z,2025-09-10T23:00:00Z,true_close,false,
2025,sample-2025-mlb-total-2,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,total,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-11T20:00:00Z,2025-09-11T22:55:00Z,2025-09-11T23:00:00Z,true_close,false,
2025,sample-2025-mlb-total-3,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,total,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-12T20:00:00Z,2025-09-12T22:55:00Z,2025-09-12T23:00:00Z,true_close,false,
2025,sample-2025-mlb-total-4,baseball_mlb,SAMPLE New York Yankees @ Boston Red Sox,total,New York Yankees,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-13T20:00:00Z,2025-09-13T22:55:00Z,2025-09-13T23:00:00Z,true_close,false,
2025,sample-2025-nfl-ml-1,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,ml,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-14T20:00:00Z,2025-09-14T22:55:00Z,2025-09-14T23:00:00Z,true_close,false,
2025,sample-2025-nfl-ml-2,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,ml,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-15T20:00:00Z,2025-09-15T22:55:00Z,2025-09-15T23:00:00Z,true_close,false,
2025,sample-2025-nfl-ml-3,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,ml,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-16T20:00:00Z,2025-09-16T22:55:00Z,2025-09-16T23:00:00Z,true_close,false,
2025,sample-2025-nfl-ml-4,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,ml,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-17T20:00:00Z,2025-09-17T22:55:00Z,2025-09-17T23:00:00Z,true_close,false,
2025,sample-2025-nfl-spread-1,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,spread,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-18T20:00:00Z,2025-09-18T22:55:00Z,2025-09-18T23:00:00Z,true_close,false,
2025,sample-2025-nfl-spread-2,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,spread,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-19T20:00:00Z,2025-09-19T22:55:00Z,2025-09-19T23:00:00Z,true_close,false,
2025,sample-2025-nfl-spread-3,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,spread,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-20T20:00:00Z,2025-09-20T22:55:00Z,2025-09-20T23:00:00Z,true_close,false,
2025,sample-2025-nfl-spread-4,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,spread,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-21T20:00:00Z,2025-09-21T22:55:00Z,2025-09-21T23:00:00Z,true_close,false,
2025,sample-2025-nfl-total-1,americanfootball_nfl,SAMPLE Kansas City Chiefs @ Philadelphia Eagles,total,Philadelphia Eagles,165,148,opticodds,fanduel,pinnacle,opticodds,2025-09-22T20:00:00Z,2025-09-22T22:55:00Z,2025-09-22T23:00:00Z,true_close,false,
